Assignments,URL,ContentId,Author,MSTgtPltfrm,New Name Slug,_______,________,_____,Redirect to:,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-base-configuration-test-environment/,virtual-machines-base-configuration-test-environment,josephd,Windows,asm_test_config_env,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-base-configuration-test-environment-resource-manager/,virtual-machines-base-configuration-test-environment-resource-manager,josephd,Windows,arm_test_config_env,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-create-windows-powershell-resource-manager/,virtual-machines-create-windows-powershell-resource-manager,davidmu,na,arm_ps_create,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-create-windows-powershell-resource-manager-template/,virtual-machines-create-windows-powershell-resource-manager-template,davidmu,vm-windows,arm_ps_template,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-deploy-rmtemplates-powershell/,virtual-machines-deploy-rmtemplates-powershell,davidmu,na,arm_ps_manage,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-hybrid-cloud-test-environments/,virtual-machines-hybrid-cloud-test-environments,josephd,Windows,asm_hybrid_test_env,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-linux-mysql-cluster/,virtual-machines-linux-mysql-cluster,jparrel,vm-linux,asm_mysql_cluster,,,__,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-provision-sql-server/,virtual-machines-provision-sql-server,jroth,vm-windows-sql-server,asm_portal_sql,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sharepoint-farm-azure-preview/,virtual-machines-sharepoint-farm-azure-preview,josephd,Windows,arm_sharepoint_farm,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sharepoint-infrastructure-services/,virtual-machines-sharepoint-infrastructure-services,josephd,Windows,sharepoint_farm_structure,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-alwayson-availability-groups-gui/,virtual-machines-sql-server-alwayson-availability-groups-gui,jroth,vm-windows-sql-server,asm_portal_sql_availability,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-alwayson-availability-groups-powershell/,virtual-machines-sql-server-alwayson-availability-groups-powershell,jroth,vm-windows-sql-server,asm_ps_sql_availability,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-automated-backup/,virtual-machines-sql-server-automated-backup,jroth,vm-windows-sql-server,asm_ps_sql_backup,,__,,,ASM article is tagged incorrectly
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-automated-patching/,virtual-machines-sql-server-automated-patching,jroth,vm-windows-sql-server,asm_ps_sql_patch,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-azure-key-vault-integration/,virtual-machines-sql-server-azure-key-vault-integration,jroth,vm-windows-sql-server,asm_ps_sql_keyvault,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-azure-key-vault-integration-resource-manager/,virtual-machines-sql-server-azure-key-vault-integration-resource-manager,jroth,vm-windows-sql-server,arm_ps_sql_keyvault,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-backup-and-restore/,virtual-machines-sql-server-backup-and-restore,jroth,vm-windows-sql-server,asm_sql_br,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-business-intelligence/,virtual-machines-sql-server-business-intelligence,jroth,vm-windows-sql-server,asm_ps_sql_bi,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-configure-ilb-alwayson-availability-group-listener/,virtual-machines-sql-server-configure-ilb-alwayson-availability-group-listener,jroth,vm-windows-sql-server,asm_ps_sql_int_listener,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-configure-public-alwayson-availability-group-listener/,virtual-machines-sql-server-configure-public-alwayson-availability-group-listener,jroth,vm-windows-sql-server,asm_ps_sql_ext_listener,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-connectivity/,virtual-machines-sql-server-connectivity,jroth,vm-windows-sql-server,asm_sql_connect,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-connectivity-resource-manager/,virtual-machines-sql-server-connectivity-resource-manager,jroth,vm-windows-sql-server,arm_sql_connect,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-create-native-mode-report-server-powershell/,virtual-machines-sql-server-create-native-mode-report-server-powershell,jroth,vm-windows-sql-server,asm_ps_sql_report,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-create-vm-with-powershell/,virtual-machines-sql-server-create-vm-with-powershell,jroth,vm-windows-sql-server,asm_ps_sql_create,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-extend-on-premises-alwayson-availability-groups/,virtual-machines-sql-server-extend-on-premises-alwayson-availability-groups,jroth,vm-windows-sql-server,asm_sql_onprem_availability,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-high-availability-and-disaster-recovery-solutions/,virtual-machines-sql-server-high-availability-and-disaster-recovery-solutions,jroth,vm-windows-sql-server,asm_sql_dr,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-infrastructure-services/,virtual-machines-sql-server-infrastructure-services,jroth,vm-windows-sql-server,asm_sql_overview,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-performance-best-practices/,virtual-machines-sql-server-performance-best-practices,jroth,vm-windows-sql-server,asm_sql_perf,,__,,,
